Name,Kobs,UV_wave,UV_Energy,CPFAS,Electron_donor,CED,pH,Temp,Time,water,Air_condition,nAcid,nBase,nAtom,nHeavyAtom,nH,nC,nN,nO,nS,nF,nX,H_C,O_C,F_C,DBE,HybRatio,nAtomP,nRing,MW,ClogP,HBDC,HBAC,RBC,TPSA,CPLX,EB3LYP,EEE,μ,α,EHOMO,ELUMO,EGAP,ELUMO_EHOMO,qH,qC,qF,f_min,f_max,f_zmin,f_zmax,f_0min,f_0max,IP,EA,ζ,CI,η,S,EI,NI,Volume,ESP_min,ESP_max,SAG,ESP_Positive_surface_area,ESP_Average_Negative_surface_area,ESP_Overall_average_value,ESP_Positive_average_value,ESP_Negative_average_value,MPI,Nonpolar_surface_area,Nonpolar_surface_area_1,Polar_surface_area,Polar_surface_area_1
PFOS,1.7,253.7,8,160,SO32-,20,9.5,20,8,Milli-Q water,S,1,0,30,29,1,8,0,3,1,17,17,0.125,0.375,2.125,0,1,4,0,500.13,5,1,20,7,62.8,727,-2626.512716,-2626.512716,2.715515,115.714667,-9.081312,-0.738456,8.342856,-9.819768,0.2019,0.176,-0.091,0.0137,0.0823,0.0145,0.0714,0.0142,0.0768,10.693,-0.9124,4.8903,-4.8903,11.6054,0.0862,1.0304,0.0399,319.79761,-23.47816,72.3134,305.67284,202.87174,102.8011,1.80565,6.34288,-7.14829,6.61375,240.05,78.53,65.63,21.47
PFOS,0.18,254,8,20,I-,10,7,20,2.5,Milli-Q water,A,1,0,30,29,1,8,0,3,1,17,17,0.125,0.375,2.125,0,1,4,0,500.13,5,1,20,7,62.8,727,-2626.512716,-2626.512716,2.715515,115.714667,-9.081312,-0.738456,8.342856,-9.819768,0.2019,0.176,-0.091,0.0137,0.0823,0.0145,0.0714,0.0142,0.0768,10.693,-0.9124,4.8903,-4.8903,11.6054,0.0862,1.0304,0.0399,319.79761,-23.47816,72.3134,305.67284,202.87174,102.8011,1.80565,6.34288,-7.14829,6.61375,240.05,78.53,65.63,21.47
PFOS,0.78,254,18,25,SO32-,10,12,20,8,Milli-Q water,S,1,0,30,29,1,8,0,3,1,17,17,0.125,0.375,2.125,0,1,4,0,500.13,5,1,20,7,62.8,727,-2626.512716,-2626.512716,2.715515,115.714667,-9.081312,-0.738456,8.342856,-9.819768,0.2019,0.176,-0.091,0.0137,0.0823,0.0145,0.0714,0.0142,0.0768,10.693,-0.9124,4.8903,-4.8903,11.6054,0.0862,1.0304,0.0399,319.79761,-23.47816,72.3134,305.67284,202.87174,102.8011,1.80565,6.34288,-7.14829,6.61375,240.05,78.53,65.63,21.47
PFOS,0.87,185,8,37.2,SO32-,20,10,25,0.166666667,Milli-Q water,N,1,0,30,29,1,8,0,3,1,17,17,0.125,0.375,2.125,0,1,4,0,500.13,5,1,20,7,62.8,727,-2626.512716,-2626.512716,2.715515,115.714667,-9.081312,-0.738456,8.342856,-9.819768,0.2019,0.176,-0.091,0.0137,0.0823,0.0145,0.0714,0.0142,0.0768,10.693,-0.9124,4.8903,-4.8903,11.6054,0.0862,1.0304,0.0399,319.79761,-23.47816,72.3134,305.67284,202.87174,102.8011,1.80565,6.34288,-7.14829,6.61375,240.05,78.53,65.63,21.47
PFOS,0.25,254,18,25,SO32-,10,12,25,24,Milli-Q water,S,1,0,30,29,1,8,0,3,1,17,17,0.125,0.375,2.125,0,1,4,0,500.13,5,1,20,7,62.8,727,-2626.512716,-2626.512716,2.715515,115.714667,-9.081312,-0.738456,8.342856,-9.819768,0.2019,0.176,-0.091,0.0137,0.0823,0.0145,0.0714,0.0142,0.0768,10.693,-0.9124,4.8903,-4.8903,11.6054,0.0862,1.0304,0.0399,319.79761,-23.47816,72.3134,305.67284,202.87174,102.8011,1.80565,6.34288,-7.14829,6.61375,240.05,78.53,65.63,21.47
PFHpS,0.23,254,12,25,SO32-,10,12,25,24,Milli-Q water,S,1,0,27,26,1,7,0,3,1,15,15,0.142857143,0.428571429,2.142857143,0,1,4,0,450.12,4.3,1,18,6,62.8,639,-2388.727659,-2388.727659,2.795444,104.045667,-9.149431,-0.647296,8.502135,-9.796727,0.2019,0.1744,-0.0917,0.0127,0.0978,0.0102,0.0829,0.0114,0.0896,10.9299,-1.1488,4.8905,-4.8905,12.0788,0.0828,0.9901,-0.0282,289.14664,-23.45938,72.30508,276.63777,185.0429,91.59486,1.82007,6.64508,-7.92757,7.06972,212.14,76.68,64.5,23.32
ωH-PFBA,0.39,254,11.9,25,SO32-,10,12,25,6,Milli-Q water,S,1,0,14,12,2,4,0,2,0,6,6,0.5,0.5,1.5,1,0.75,3,0,196.05,2,1,8,3,37.3,188,-903.116825,-903.116825,2.015367,48.151667,-8.300759,-0.994787,7.305972,-9.295546,0.2013,0.1742,-0.1079,0.0276,0.2569,0.0163,0.2124,0.0227,0.2346,10.835,-1.5986,4.6182,-4.6182,12.4336,0.0804,0.8577,0.8205,143.96459,-28.11412,60.94204,154.70308,52.13739,102.56569,0.48083,18.46964,-8.66346,11.9683,92.86,60.03,61.84,39.97
PFPeS,0.077,254,12.9,25,SO32-,10,12,25,72,Milli-Q water,S,1,0,21,20,1,5,0,3,1,11,11,0.2,0.6,2.2,0,1,4,0,350.11,3,1,14,4,62.8,469,-1913.156888,-1913.156888,2.6586,81.996667,-9.094737,-0.702527,8.39221,-9.797264,0.2017,0.1766,-0.0907,0.0187,0.1109,0.0205,0.0915,0.0203,0.0922,11.0264,-1.206,4.9102,-4.9102,12.2324,0.0818,0.9855,0.0265,229.56698,-23.61895,71.57751,228.32511,138.73417,89.59094,1.4875,7.79593,-8.28129,7.98638,166.56,72.95,61.77,27.05
PFHxS,0.072,254,8,25.1,I-,10,7,25,2.5,Milli-Q water,A,1,0,24,23,1,6,0,3,1,13,13,0.166666667,0.5,2.166666667,0,1,4,0,400.12,3.7,1,16,5,62.8,553,-2150.942479,-2150.942479,2.518349,92.597333,-9.128192,-0.683995,8.444197,-9.812187,0.1819,0.2576,-0.1463,-0.0031,0.2383,-0.0019,0.1966,-0.0025,0.1779,6.9901,-6.1573,0.4164,-0.4164,13.1474,0.0761,0.0066,0.8599,259.25555,-23.53258,71.66125,251.25305,140.83628,110.41678,1.22711,7.58361,-6.88058,7.27465,190.28,75.73,60.97,24.27
PFHxS,0.13,254,12,25,SO32-,10,12,25,36,Milli-Q water,S,1,0,24,23,1,6,0,3,1,13,13,0.166666667,0.5,2.166666667,0,1,4,0,400.12,3.7,1,16,5,62.8,553,-2150.942479,-2150.942479,2.518349,92.597333,-9.128192,-0.683995,8.444197,-9.812187,0.1819,0.2576,-0.1463,-0.0031,0.2383,-0.0019,0.1966,-0.0025,0.1779,6.9901,-6.1573,0.4164,-0.4164,13.1474,0.0761,0.0066,0.8599,259.25555,-23.53258,71.66125,251.25305,140.83628,110.41678,1.22711,7.58361,-6.88058,7.27465,190.28,75.73,60.97,24.27
